Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-21 11:16:02,ENTRY,SENSEX,SENSEX,,20,,,,75312.95,,75200.0,0,118.7,0,165.4,-46.7,0.0,,BTST_BEAR_PUT_DEBIT Paper Trade (Simulated)
2026-05-21 13:01:39,EXIT,SENSEX,SENSEX,,20,,,,75058.87,,75200.0,0,247.25,0,334.15,-86.9,3216.0,SNIPER_TARGET,BTST_BEAR_PUT_DEBIT Paper Trade Closed
2026-05-21 13:02:42,ENTRY,NIFTY,NIFTY,,65,,,,23609.7,23900.0,23300.0,62.75,79.85,3.3,3.8,135.5,0.0,,Local Paper Trade (Simulated)
2026-05-21 16:29:10,EXIT,NIFTY,NIFTY,,65,,,,23640.1,23900.0,23300.0,62.75,79.85,3.3,3.8,135.5,0.0,MARKET_CLOSED,Live Exchange Exit (Estimated from entry prices; fresh quote unavailable)
2026-05-21 16:30:31,EXIT,NIFTY,NIFTY,,65,,,,23640.1,23900.0,23300.0,62.75,79.85,3.3,3.8,135.5,0.0,MARKET_CLOSED,Local Paper Trade Closed (Estimated from entry prices; fresh quote unavailable)
2026-05-21 22:37:41,EXIT,NIFTY,NIFTY,,65,,,,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-21 23:00:31,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-21 23:03:06,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-21 23:04:58,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
2026-05-21 23:06:33,EXIT,NIFTY,NIFTY,IRON_CONDOR,65,1,65,0.0,0.0,100,100,25.0,0,6.0,0,-19.0,260.0,EOD_SLICE_CALL_SIDE,EOD Neutral CALL Side Slice
